SUMS_ID,Galaxy,RA,Dec,Ranking,UVW2,UVW2_err,UVM2,UVM2_err,UVW1,UVW1_err,U,U_err,B,B_err,V,V_err,I,I_err,UVW2_std,UVM2_std,UVW1_std,UVW2_flux_frac,UVM2_flux_frac,UVW1_flux_frac,UVW2_resid_frac,UVM2_resid_frac,UVW1_resid_frac,UVW2_dist_moved,UVM2_dist_moved,UVW1_dist_moved,UVW2_dist_neighbor,UVM2_dist_neighbor,UVW1_dist_neighbor,UVW2_n5,UVM2_n5,UVW1_n5,UVW2_n2p5,UVM2_n2p5,UVW1_n2p5,UVW2_nobs,UVM2_nobs,UVW1_nobs,Gaia_chi2
SUMS_bb223,SMC,14.942505,-72.12834000000002,B-E,18.23,0.09,18.28,0.1,18.38,0.08,18.587063684656457,0.051,18.4735260924053,0.054,19.03929879298842,0.122,19.369399283711125,0.064,0.08,0.02,0.11,0.88,0.84,0.83,0.1,0.07,0.09,0.02,0.03,0.03,4.3,4.28,4.26,1.0,1.0,1.0,0,0,0,2.0,2.0,3.0,1.5
SUMS_bba01,SMC,14.990025,-72.22413,VB-G,,,19.39,0.14,19.58,0.14,20.171063684656456,0.1119999999999999,19.8825260924053,0.048,20.29429879298842,0.081,20.844399283711127,0.158,,0.08,0.11,,0.17,0.16,,0.05,0.08,,0.01,0.02,,3.65,3.64,,4.0,4.0,0,0,0,,2.0,3.0,1.9
SUMS_bbaa4,SMC,14.994435,-72.22434,B-G,18.24,0.05,18.99,0.13,18.77,0.13,19.348063684656456,0.114,19.0815260924053,0.146,19.172298792988418,0.191,19.648399283711125,0.1369999999999999,0.07,0.1,0.2,0.49,0.24,0.41,0.04,0.26,0.08,0.17,0.01,0.02,1.15,1.18,1.15,2.0,2.0,2.0,1,1,1,3.0,2.0,2.0,6.8
SUMS_bc51a,SMC,15.06366,-72.29500999999998,VB-G,19.28,0.08,19.21,0.11,19.51,0.11,20.963063684656458,0.144,20.079526092405303,0.086,19.99929879298842,0.073,20.554399283711124,0.139,0.48,0.39,0.25,0.38,0.41,0.26,0.12,0.16,0.1,0.05,0.05,0.03,2.47,2.49,2.48,1.0,1.0,1.0,1,1,1,3.0,2.0,4.0,
SUMS_bc651,SMC,15.07218,-72.23698,B-E,18.66,0.11,18.8,0.1,18.72,0.08,18.686063684656457,0.128,18.2005260924053,0.085,19.364298792988414,0.067,19.888399283711124,0.158,,0.12,0.0,0.78,0.67,0.68,0.12,0.26,0.19,0.08,0.08,0.1,2.15,2.14,2.15,2.0,3.0,3.0,1,2,2,1.0,2.0,3.0,2.3
SUMS_bc953,SMC,15.09216,-72.09275,B-G,19.08,0.08,18.81,0.12,,,19.243063684656455,0.119,19.279526092405305,0.071,19.29529879298842,0.096,19.722399283711127,0.115,0.01,,,0.28,0.32,,0.24,0.22,,0.04,0.02,,1.75,1.77,,4.0,4.0,,2,2,0,2.0,1.0,,8.5
SUMS_bca5f,SMC,15.098205000000002,-72.0961,VB-G,18.9,0.08,,,19.0,0.13,19.740063684656455,0.142,19.175526092405303,0.069,19.57829879298842,0.102,20.040399283711125,0.093,0.31,,,0.29,,0.26,0.09,,0.27,0.04,,0.05,1.61,,1.69,2.0,,2.0,1,0,1,2.0,,1.0,6.1
SUMS_bd122,SMC,15.13989,-72.18656999999997,B-G,19.46,0.13,19.63,,19.35,0.14,19.649063684656458,0.063,19.248526092405303,0.053,19.547298792988418,0.073,20.152399283711127,0.1009999999999999,0.03,,0.08,0.32,0.28,0.36,0.23,0.27,0.2,0.02,0.01,0.01,4.84,4.85,4.82,1.0,1.0,1.0,0,0,0,2.0,1.0,2.0,10.4
SUMS_bd559,SMC,15.16752,-72.26115,B-E,16.01,0.03,16.03,0.03,16.15,0.03,16.438063684656456,0.03,16.6055260924053,0.0289999999999999,16.95029879298842,0.033,17.719399283711123,0.074,0.02,0.01,0.01,0.95,0.95,0.93,0.03,0.03,0.03,0.13,0.18,0.15,2.85,2.76,2.86,3.0,3.0,3.0,0,0,0,3.0,4.0,3.0,0.2
SUMS_bd58d,SMC,15.168825,-72.04703,B-E,18.46,0.07,18.6,0.1,,,18.610063684656456,0.036,18.6325260924053,0.039,18.806298792988414,0.039,19.543399283711125,0.068,,,,0.7,0.57,,0.21,0.29,,0.06,0.06,,4.04,4.07,,3.0,3.0,,0,0,0,1.0,1.0,,1.8
SUMS_bd5de,SMC,15.171105,-72.13114,B-E,18.77,0.07,18.75,0.07,18.67,0.08,19.168063684656456,0.073,18.8885260924053,0.051,19.02829879298842,0.068,19.671399283711125,0.077,0.01,0.04,0.29,0.4,0.39,0.42,0.05,0.17,0.06,0.04,0.06,0.05,2.05,2.04,2.09,1.0,1.0,1.0,1,1,1,2.0,3.0,2.0,17.5
SUMS_bd612,SMC,15.172275,-72.41150999999998,VB-G,19.74,0.12,19.51,0.12,19.49,0.15,21.057063684656455,,20.1735260924053,0.113,20.16929879298842,0.076,20.779399283711125,0.1939999999999999,0.19,0.19,0.35,0.1,0.11,0.1,0.16,0.23,0.24,0.01,0.02,0.02,2.62,2.6,2.62,1.0,1.0,1.0,0,0,0,2.0,2.0,2.0,3.2
SUMS_bd8b7,SMC,15.1887,-71.83659,B-G,17.99,0.07,,,18.31,0.08,18.787063684656456,0.05,18.637526092405302,0.039,18.75229879298842,0.032,19.45439928371113,0.179,,,,0.17,,0.14,0.17,,0.19,0.07,,0.12,2.97,,3.1,4.0,,4.0,0,0,0,1.0,,1.0,3.0
SUMS_be19c,SMC,15.24876,-72.62048,VB-E,16.16,0.03,16.31,0.03,16.4,0.03,16.718063684656457,0.035,17.1415260924053,0.027,17.42929879298842,0.0409999999999999,18.267399283711125,0.05,0.03,0.04,0.05,0.99,0.99,0.98,0.05,0.11,0.08,0.14,0.11,0.11,4.13,4.09,4.05,1.0,1.0,1.0,0,0,0,3.0,3.0,3.0,0.1
SUMS_be59a,SMC,15.277215,-72.01775,B-E,16.37,0.03,16.39,0.03,16.66,0.04,16.854063684656456,0.034,16.986526092405303,0.033,17.318298792988426,0.039,18.110399283711125,0.06,0.06,0.02,0.04,0.96,0.95,0.94,0.04,0.06,0.09,0.11,0.09,0.16,3.42,3.44,3.58,1.0,1.0,1.0,0,0,0,4.0,3.0,2.0,0.2
SUMS_be619,SMC,15.280679999999998,-72.46613,VB-G,19.3,0.06,18.95,0.11,19.31,0.09,20.407063684656457,0.124,19.826526092405302,0.059,19.957298792988414,0.063,20.60239928371113,0.122,0.25,,0.21,0.1,0.13,0.1,0.23,0.18,0.22,0.05,0.05,0.04,2.81,2.91,2.75,3.0,3.0,3.0,0,0,0,4.0,1.0,3.0,2.4
SUMS_be634,SMC,15.281310000000005,-72.21145,B-E,19.03,0.09,18.92,0.11,18.87,0.1,,,18.2175260924053,0.061,19.51129879298842,0.15,19.85239928371113,0.144,0.01,0.0,0.02,0.69,0.64,0.65,0.1,0.17,0.12,0.09,0.06,0.1,3.06,3.03,2.48,3.0,3.0,4.0,0,0,1,2.0,3.0,2.0,7.0
SUMS_be63d,SMC,15.281475,-72.22478000000002,B-E,18.77,0.08,18.74,0.09,18.85,0.1,18.898063684656456,0.051,18.8835260924053,0.035,19.11529879298842,0.05,19.902399283711127,0.091,0.02,0.02,0.06,0.96,0.96,0.96,0.17,0.24,0.14,0.02,0.03,0.02,5.97,5.97,5.97,,,,0,0,0,2.0,2.0,2.0,0.9
SUMS_be689,SMC,15.28368,-72.75766,B-E,19.12,0.08,19.2,0.13,19.17,0.1,19.115063684656455,0.054,19.044526092405302,0.043,19.26229879298842,0.057,19.976399283711125,0.088,0.07,,0.06,0.54,0.5,0.5,0.18,0.24,0.21,0.02,0.01,0.03,2.9,2.91,2.88,2.0,2.0,2.0,0,0,0,2.0,1.0,2.0,0.6
SUMS_bea0e,SMC,15.308835,-72.03999,B-E,15.0,0.02,15.04,0.03,15.21,0.03,15.54006368465646,0.031,15.7255260924053,0.0409999999999999,16.09429879298842,0.047,16.892399283711125,0.045,0.04,0.02,0.03,1.0,1.0,1.0,0.03,0.05,0.07,0.24,0.25,0.14,6.57,6.54,6.86,,,,0,0,0,4.0,3.0,2.0,0.5
SUMS_beaf1,SMC,15.31458,-71.98264,B-G,17.36,0.03,17.12,0.03,17.63,0.04,18.044063684656457,0.175,18.1485260924053,0.145,18.12729879298842,0.134,18.944399283711125,0.067,0.12,0.3,0.13,0.34,0.44,0.29,0.09,0.12,0.14,0.05,0.03,0.07,1.07,1.17,1.24,2.0,2.0,2.0,1,1,1,6.0,4.0,3.0,0.2
SUMS_beba9,SMC,15.320295000000002,-72.37224,B-G,19.06,0.05,19.08,0.09,19.1,0.09,19.216063684656454,0.051,19.1595260924053,0.025,19.22829879298842,0.047,19.918399283711125,0.06,0.07,0.01,0.01,0.13,0.11,0.12,0.19,0.16,0.16,0.04,0.03,0.03,3.02,3.0,3.01,5.0,5.0,5.0,0,0,0,5.0,3.0,4.0,7.8
